@relation 'allresults-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,2'

@attribute k numeric
@attribute accuracy numeric
@attribute tp numeric
@attribute fp numeric
@attribute tn numeric
@attribute precision numeric
@attribute f1 numeric
@attribute name {EuclideanDistance,ChebyshevDistance,ManhattanDistance,MinkowskiDistance05,MinkowskiDistance075,MinkowskiDistance3,MinkowskiDistance4,CanberraDistance,MeanAbsoluteError1,SumOfSquaredDifference,RodriguesDistance05,RodriguesDistance075,RodriguesDistance1,RodriguesDistance2,RodriguesDistance3,RodriguesDistance4}

@data
24,0.9024,0.652778,0.060336,0.939664,?,?,EuclideanDistance
22,0.55465,0.530949,0.228895,0.771105,0.540466,0.53234,EuclideanDistance
17,0.760417,0.712119,0.287881,0.712119,0.741143,0.721212,EuclideanDistance
8,0.869048,0.64031,0.021333,0.978667,?,?,EuclideanDistance
1,0.733645,0.715015,0.060452,0.939548,0.705064,0.705253,EuclideanDistance
33,0.77451,0.605679,0.394321,0.605679,0.747431,0.614898,EuclideanDistance
9,0.642857,0.450549,0.22381,0.77619,?,?,EuclideanDistance
6,0.734848,0.734641,0.143186,0.856814,0.781778,0.748417,EuclideanDistance
25,0.696296,0.685833,0.314167,0.685833,0.693756,0.687217,EuclideanDistance
1,0.860399,0.814286,0.185714,0.814286,0.887931,0.834874,EuclideanDistance
19,0.98,0.98,0.01,0.99,0.980125,0.979998,EuclideanDistance
1,1,1,0,1,1,1,EuclideanDistance
1,0.9604,0.960204,0.001584,0.998416,0.960305,0.960212,EuclideanDistance
3,0.954,0.954,0.005111,0.994889,0.954164,0.953982,EuclideanDistance
9,0.85,0.85,0.016667,0.983333,0.852136,0.850093,EuclideanDistance
6,0.9775,0.9775,0.0025,0.9975,0.977692,0.977503,EuclideanDistance
45,0.4995,0.4995,0.055611,0.944389,0.48825,0.486455,EuclideanDistance
6,0.978,0.978,0.002444,0.997556,0.978172,0.97801,EuclideanDistance
14,0.8255,0.8255,0.019389,0.980611,0.824609,0.824528,EuclideanDistance
4,0.988612,0.988596,0.001266,0.998734,0.988785,0.98865,EuclideanDistance
4,0.957976,0.720953,0.054691,0.945309,0.818067,0.762765,EuclideanDistance
1,0.993723,0.993715,0.000698,0.999302,0.993764,0.993736,EuclideanDistance
1,0.965368,0.965368,0.005772,0.994228,0.965717,0.965364,EuclideanDistance
1,0.831731,0.82869,0.17131,0.82869,0.833239,0.829998,EuclideanDistance
1,0.824821,0.816295,0.183705,0.816295,0.816664,0.816478,EuclideanDistance
49,0.791822,0.571963,0.428037,0.571963,0.6497,0.580156,EuclideanDistance
3,0.7375,0.7375,0.2625,0.7375,0.765549,0.73038,EuclideanDistance
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,EuclideanDistance
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,EuclideanDistance
1,0.615894,0.61574,0.192368,0.807632,0.617474,0.616082,EuclideanDistance
3,0.654846,0.658842,0.115343,0.884657,0.646654,0.651725,EuclideanDistance
29,0.8562,0.856678,0.071838,0.928162,0.85739,0.855822,EuclideanDistance
1,0.752809,0.74659,0.125426,0.874574,0.747714,0.747116,EuclideanDistance
108,0.8992,0.650463,0.062315,0.937685,?,?,ChebyshevDistance
15,0.555329,0.527325,0.23185,0.76815,0.543494,0.530514,ChebyshevDistance
13,0.734375,0.686925,0.313075,0.686925,0.707764,0.693655,ChebyshevDistance
10,0.860119,0.630863,0.022279,0.977721,?,?,ChebyshevDistance
1,0.719626,0.689571,0.062978,0.937022,0.681497,0.682966,ChebyshevDistance
17,0.781046,0.629877,0.370123,0.629877,0.743519,0.645998,ChebyshevDistance
13,0.571429,0.399267,0.271429,0.728571,?,?,ChebyshevDistance
6,0.636364,0.599346,0.195836,0.804164,0.706572,0.610873,ChebyshevDistance
17,0.681481,0.673333,0.326667,0.673333,0.677273,0.674334,ChebyshevDistance
1,0.880342,0.840317,0.159683,0.840317,0.904902,0.860281,ChebyshevDistance
9,0.986667,0.986667,0.006667,0.993333,0.986667,0.986667,ChebyshevDistance
63,1,1,0,1,1,1,ChebyshevDistance
5,0.90005,0.89953,0.003998,0.996002,0.901174,0.899798,ChebyshevDistance
4,0.9535,0.9535,0.005167,0.994833,0.953977,0.953522,ChebyshevDistance
7,0.8395,0.8395,0.017833,0.982167,0.842438,0.839562,ChebyshevDistance
3,0.97,0.97,0.003333,0.996667,0.970442,0.970019,ChebyshevDistance
47,0.499,0.499,0.055667,0.944333,0.489756,0.486276,ChebyshevDistance
1,0.289,0.289,0.079,0.921,0.841301,0.312921,ChebyshevDistance
10,0.8185,0.8185,0.020167,0.979833,0.818672,0.818117,ChebyshevDistance
3,0.984875,0.984866,0.001681,0.998319,0.984952,0.984872,ChebyshevDistance
4,0.955966,0.703555,0.056705,0.943295,0.791595,0.741277,ChebyshevDistance
4,0.990721,0.99077,0.001031,0.998969,0.99076,0.990751,ChebyshevDistance
1,0.951515,0.951515,0.008081,0.991919,0.952054,0.951578,ChebyshevDistance
1,0.802885,0.797762,0.202238,0.797762,0.807796,0.799506,ChebyshevDistance
1,0.802652,0.795012,0.204988,0.795012,0.793157,0.794036,ChebyshevDistance
35,0.795539,0.547281,0.452719,0.547281,0.655882,0.542814,ChebyshevDistance
